name,pubCode,description,startDate,endDate
"brd.pointID","5","Point 5",2012-01-01T00:00:00Z,
"brd.pointID","6","Point 6",2012-01-01T00:00:00Z,
"brd.pointID","7","Point 7",2012-01-01T00:00:00Z,
"brd.pointID","8","Point 8",2012-01-01T00:00:00Z,
"brd.pointID","9","Point 9",2012-01-01T00:00:00Z,
"brd.pointID","21","Point 21 (typical 1-9 grid not possible)",2012-01-01T00:00:00Z,
"brd.samplingImpracticalRemarks","Private Property - Denied Permission","Private Property - Denied Permission",2012-01-01T00:00:00Z,
"brd.samplingImpracticalRemarks","Private Property - No contact with landowner","Private Property - No contact with landowner",2012-01-01T00:00:00Z,
"brd.samplingImpracticalRemarks","Terrain Unsafe (could not safely approach to within 25 m of point)","Terrain Unsafe (could not safely approach to within 25 m of point)",2012-01-01T00:00:00Z,
"brd.samplingImpracticalRemarks","Can't cross River","Can't cross River",2012-01-01T00:00:00Z,
"brd.samplingImpracticalRemarks","Snow pack impassible","Snow pack impassible",2012-01-01T00:00:00Z,
"brd.samplingImpracticalRemarks","Running water near point - unable to Hear","Running water near point - unable to Hear",2012-01-01T00:00:00Z,
"brd.samplingImpracticalRemarks","Weather (rain or wind)","Weather (rain or wind)",2012-01-01T00:00:00Z,
"brd.samplingImpracticalRemarks","No GPS reception, cannot find point","No GPS reception, cannot find point",2012-01-01T00:00:00Z,
"brd.samplingImpracticalRemarks","Ran out of Time (five hours past sunrise or noticeably decreased bird activity)","Ran out of Time (five hours past sunrise or noticeably decreased bird activity)",2012-01-01T00:00:00Z,
"brd.samplingImpracticalRemarks","Other","Other",2012-01-01T00:00:00Z,
"brd.samplingProtocolVersion","NEON.DOC.014041vA","NEON.DOC.014041vA",2012-01-01T00:00:00Z,2020-12-31T00:00:00Z
"brd.samplingProtocolVersion","NEON.DOC.014041vB","NEON.DOC.014041vB",2012-01-01T00:00:00Z,2020-12-31T00:00:00Z
"brd.samplingProtocolVersion","NEON.DOC.014041vC","NEON.DOC.014041vC",2012-01-01T00:00:00Z,2020-12-31T00:00:00Z
"brd.samplingProtocolVersion","NEON.DOC.014041vD","NEON.DOC.014041vD",2012-01-01T00:00:00Z,2020-12-31T00:00:00Z
"brd.samplingProtocolVersion","NEON.DOC.014041vE","NEON.DOC.014041vE",2012-01-01T00:00:00Z,2020-12-31T00:00:00Z
"brd.samplingProtocolVersion","NEON.DOC.014041vF","NEON.DOC.014041vF",2012-01-01T00:00:00Z,2020-12-31T00:00:00Z
"brd.samplingProtocolVersion","NEON.DOC.014041vG","NEON.DOC.014041vG",2012-01-01T00:00:00Z,2020-12-31T00:00:00Z
"brd.samplingProtocolVersion","NEON.DOC.014041vH","NEON.DOC.014041vH",2012-01-01T00:00:00Z,2020-12-31T00:00:00Z
"brd.samplingProtocolVersion","NEON.DOC.014041vJ","NEON.DOC.014041vJ",2012-01-01T00:00:00Z,2020-12-31T00:00:00Z
"brd.samplingProtocolVersion","NEON.DOC.014041vK","NEON.DOC.014041vK",2020-12-01T00:00:00Z,
"brd.sex","Male","Male",2012-01-01T00:00:00Z,
"brd.sex","Female","Female",2012-01-01T00:00:00Z,
"brd.sex","Unknown","Unknown",2012-01-01T00:00:00Z,
"brd.sex","Juvenile","Juvenile",2012-01-01T00:00:00Z,
"brd.visual","No","No",2012-01-01T00:00:00Z,
"brd.visual","Yes","Yes",2012-01-01T00:00:00Z,
"Identification Qualifiers","cf. species","roughly equals but 'not sure' about the species",2012-01-01T00:00:00Z,
"Identification Qualifiers","aff. species","similar to but is not the species",2012-01-01T00:00:00Z,
"Identification Qualifiers","cf. genus","roughly equals but 'not sure' about the genus",2012-01-01T00:00:00Z,
"Identification Qualifiers","aff. genus","similar to but is not the genus",2012-01-01T00:00:00Z,
"Identification Qualifiers","cf. subspecies","roughly equals but 'not sure' about the subspecies",2012-01-01T00:00:00Z,
"Identification Qualifiers","aff. subspecies","similar to but is not the subspecies",2012-01-01T00:00:00Z,
"Identification Qualifiers","cf. family","roughly equals but 'not sure' about the family",2012-01-01T00:00:00Z,
"Identification Qualifiers","aff. family","similar to but is not the family",2012-01-01T00:00:00Z,
"Identification Qualifiers","cf. variety","roughly equals but 'not sure' about the variety",2012-01-01T00:00:00Z,
"Identification Qualifiers","aff. variety","similar to but is not the variety",2012-01-01T00:00:00Z,
"identificationRemarks","Nomenclatural adjustment","The determination has been updated because of a change in the taxonomic concept",2012-01-01T00:00:00Z,
"identificationRemarks","Determination updated by expert","A taxonomic expert has indicated that this determination should be updated",2012-01-01T00:00:00Z,
"identificationRemarks","Out of geographic range","The geographic range of the taxon in this determination does not include the location where this observation was made",2012-01-01T00:00:00Z,
"identificationRemarks","Out of phenotypic range","Measurement of one or more phenotypic traits of the specimen suggest the determination should be updated",2012-01-01T00:00:00Z,
"identificationRemarks","BOLD mismatch","BOLD data suggest this determination should be updated",2012-01-01T00:00:00Z,
"identificationRemarks","Transcription error","There was a data entry error and this determination needed to be corrected",2012-01-01T00:00:00Z,
"identificationRemarks","Field determination error","Field determination error",2012-01-01T00:00:00Z,
"identificationRemarks","Other - see remarks","Other - see remarks",2012-01-01T00:00:00Z,
"identificationRemarks","Genetic analysis","Taxonomic identity was determined by genetic analysis (e.g., PCR)",2012-01-01T00:00:00Z,
"Native Status Codes","N","N",2012-01-01T00:00:00Z,
"Native Status Codes","NQ","NQ",2012-01-01T00:00:00Z,
"Native Status Codes","NI","NI",2012-01-01T00:00:00Z,
"Native Status Codes","NIQ","NIQ",2012-01-01T00:00:00Z,
"Native Status Codes","GP","GP",2012-01-01T00:00:00Z,
"Native Status Codes","GPQ","GPQ",2012-01-01T00:00:00Z,
"Native Status Codes","I","I",2012-01-01T00:00:00Z,
"Native Status Codes","IQ","IQ",2012-01-01T00:00:00Z,
"Native Status Codes","NQI","NQI",2012-01-01T00:00:00Z,
"Native Status Codes","W","W",2012-01-01T00:00:00Z,
"Native Status Codes","WQ","WQ",2012-01-01T00:00:00Z,
"Native Status Codes","UNK","UNK",2012-01-01T00:00:00Z,
"Native Status Codes","A","A",2012-01-01T00:00:00Z,
"Native Status Codes","FEDERAL","FEDERAL",2012-01-01T00:00:00Z,
"Native Status Codes","STATE","STATE",2012-01-01T00:00:00Z,
"samplingImpractical","location dry","location dry",2012-01-01T00:00:00Z,
"samplingImpractical","location frozen","location frozen",2012-01-01T00:00:00Z,
"samplingImpractical","location snow covered","location snow covered",2012-01-01T00:00:00Z,
"samplingImpractical","other","Sampling location inaccessible due to other ecological reason described in the remarks",2012-01-01T00:00:00Z,
"samplingImpractical","shallow groundwater","shallow groundwater; depth of groundwater column less than 0.5 m",2012-01-01T00:00:00Z,
"samplingImpractical","low yield groundwater","low yield groundwater well",2012-01-01T00:00:00Z,
"samplingImpractical","high water velocity","high water velocity",2012-01-01T00:00:00Z,
"samplingImpractical","staff gauge disturbed","staff gauge disturbed",2012-01-01T00:00:00Z,
"samplingImpractical","staff gauge not installed","staff gauge not installed",2012-01-01T00:00:00Z,
"samplingImpractical","OK","OK",2012-01-01T00:00:00Z,
"samplingImpractical","coordinates not suitable","Maximum number of attempts made to sample within a subplot were unsuccessful",2012-01-01T00:00:00Z,
"samplingImpractical","location flooded","location flooded",2012-01-01T00:00:00Z,
"samplingImpractical","logistical","logistical",2012-01-01T00:00:00Z,
"samplingImpractical","management","management",2012-01-01T00:00:00Z,
"samplingImpractical","extreme weather","extreme weather",2012-01-01T00:00:00Z,
"samplingImpractical","location burned","location burned",2012-01-01T00:00:00Z,
"samplingImpractical","temperature low","temperature low",2012-01-01T00:00:00Z,
"samplingImpractical","temperature high","temperature high",2012-01-01T00:00:00Z,
"samplingImpractical","disturbance","samples not collected due to disturbance",2012-01-01T00:00:00Z,
"samplingImpractical","too windy","too windy",2012-01-01T00:00:00Z,
"samplingImpractical","horizon not present","horizon not present in the incubated soil sample",2012-01-01T00:00:00Z,
"samplingImpractical","location wet","location too wet due to rain or dew",2012-01-01T00:00:00Z,
"samplingImpractical","not all samples collected on this date","not all samples collected on this date",2012-01-01T00:00:00Z,2022-12-31T00:00:00Z
"samplingImpractical","exclosure cell not clipped, livestock absent","exclosure clip cell not harvested, cattle absent during previous grazing interval",2012-01-01T00:00:00Z,
"samplingImpractical","ambient cell not clipped, livestock absent","ambient clip cell not harvested, cattle absent during previous grazing interval",2012-01-01T00:00:00Z,
"samplingImpractical","wildfire","sampling location inaccessible due to active wildfire or post fire safety hazards",2012-01-01T00:00:00Z,
"samplingImpractical","wildlife hazard","wildlife hazard, specific hazard described in remarks",2012-01-01T00:00:00Z,
"samplingImpractical","safety hazard","unsafe conditions at sampling location or on route to sampling location",2012-01-01T00:00:00Z,
"samplingImpractical","outside target flow range","selected when stream flow already has good coverage and specific flows are being targeted",2022-03-01T00:00:00Z,
"samplingImpractical","onshore protocols only","sampling not required when only onshore protocols are scheduled",2012-01-01T00:00:00Z,
"samplingImpractical","night fishing","sampling not required when night fishing",2012-01-01T00:00:00Z,
"samplingImpractical","obstruction","sample not collected due to an obstruction in sampling area",2012-01-01T00:00:00Z,
