table,fieldName,description,dataType,units,downloadPkg,pubFormat,primaryKey,categoricalCodeName
brd_personnel,uid,"Unique ID within NEON database; an identifier for the record",string,NA,expanded,"asIs",N,
brd_personnel,laboratoryName,"Name of the laboratory or facility that is processing the sample",string,NA,expanded,"asIs",N,
brd_personnel,date,"Date or date and time of measurement, observation, or collection event",dateTime,NA,expanded,"yyyy-MM-dd(floor)",Y,
brd_personnel,domainID,"Unique identifier of the NEON domain",string,NA,expanded,"asIs",N,
brd_personnel,siteID,"NEON site code",string,NA,expanded,"asIs",Y,
brd_personnel,technicianID,"Unique identifier for technician",string,NA,expanded,"asIs",Y,
brd_personnel,observerInstitutionName,"The name of the institution with which the observer is affiliated",string,NA,expanded,"LOV",Y,"brd.institution"
brd_personnel,evaluationMethod,"Method of evaluation for technician",string,NA,expanded,"LOV",Y,"brd.evaluationMethod"
brd_personnel,evaluationScore,"Score for the evaluation method",unsigned integer,percent,expanded,"integer",Y,
brd_personnel,remarks,"Technician notes; free text comments accompanying the record",string,NA,expanded,"asIs",N,
brd_references,uid,"Unique ID within NEON database; an identifier for the record",string,NA,expanded,"asIs",N,
brd_references,date,"Date or date and time of measurement, observation, or collection event",dateTime,NA,expanded,"yyyy-MM-dd(floor)",Y,
brd_references,domainID,"Unique identifier of the NEON domain",string,NA,expanded,"asIs",N,
brd_references,siteID,"NEON site code",string,NA,expanded,"asIs",Y,
brd_references,identificationReferences,"A list of sources (concatenated and semicolon separated) used to derive the specific taxon concept; including field guide editions, books, or versions of NEON keys used",string,NA,expanded,"asIs",Y,
brd_references,remarks,"Technician notes; free text comments accompanying the record",string,NA,expanded,"asIs",N,
